time,x,theta,vx,vtheta,force
1.659999,-0.688703,0.002832,-0.427161,0.003858,0.040388
1.679999,-0.697232,0.002905,-0.426471,0.003657,0.040863
1.699999,-0.705748,0.002975,-0.425774,0.003466,0.041314
1.719999,-0.714249,0.003040,-0.425070,0.003286,0.041743
1.739999,-0.722736,0.003103,-0.424360,0.003116,0.042152
1.759999,-0.731209,0.003162,-0.423644,0.002955,0.042540
1.779999,-0.739668,0.003218,-0.422923,0.002803,0.042909
1.799999,-0.748112,0.003271,-0.422196,0.002660,0.043261
1.819999,-0.756541,0.003321,-0.421463,0.002524,0.043596
1.839999,-0.764955,0.003369,-0.420726,0.002396,0.043914
1.859999,-0.773355,0.003415,-0.419984,0.002274,0.044218
1.879999,-0.781740,0.003458,-0.419237,0.002159,0.044508
1.899999,-0.790110,0.003499,-0.418487,0.002051,0.044784
1.919999,-0.798464,0.003538,-0.417732,0.001948,0.045047
1.939999,-0.806804,0.003575,-0.416973,0.001851,0.045298
1.959999,-0.815128,0.003610,-0.416210,0.001759,0.045538
1.979999,-0.823437,0.003644,-0.415444,0.001673,0.045767
1.999999,-0.831730,0.003676,-0.414674,0.001590,0.045985
2.019999,-0.840008,0.003706,-0.413901,0.001513,0.046194
2.039999,-0.848271,0.003735,-0.413125,0.001439,0.046394
2.059999,-0.856518,0.003762,-0.412346,0.001370,0.046585
2.079999,-0.864749,0.003788,-0.411564,0.001304,0.046768
2.099999,-0.872965,0.003813,-0.410780,0.001242,0.046943
2.119999,-0.881164,0.003837,-0.409993,0.001183,0.047111
2.139999,-0.889349,0.003859,-0.409203,0.001128,0.047271
2.159999,-0.897517,0.003881,-0.408410,0.001075,0.047426
2.179999,-0.905669,0.003901,-0.407616,0.001025,0.047573
2.199999,-0.913805,0.003921,-0.406819,0.000978,0.047715
2.219999,-0.921926,0.003939,-0.406020,0.000934,0.047852
2.239999,-0.930030,0.003957,-0.405219,0.000891,0.047982
2.259999,-0.938119,0.003974,-0.404416,0.000851,0.048108
2.279999,-0.946191,0.003990,-0.403611,0.000814,0.048229
2.299999,-0.954247,0.004006,-0.402804,0.000778,0.048346
2.319999,-0.962287,0.004021,-0.401996,0.000744,0.048458
2.339998,-0.970310,0.004035,-0.401185,0.000712,0.048566
2.359998,-0.978318,0.004049,-0.400373,0.000681,0.048670
2.379998,-0.986309,0.004062,-0.399560,0.000653,0.048771
2.399998,-0.994284,0.004074,-0.398745,0.000625,0.048868
2.419998,-1.002243,0.004086,-0.397928,0.000599,0.048962
2.439998,-1.010185,0.004098,-0.397110,0.000575,0.049052
2.459998,-1.018111,0.004109,-0.396291,0.000552,0.049140
2.479998,-1.026020,0.004119,-0.395470,0.000530,0.049225
2.499998,-1.033913,0.004130,-0.394648,0.000509,0.049307
2.519998,-1.041789,0.004139,-0.393824,0.000489,0.049386
2.539998,-1.049649,0.004149,-0.392999,0.000470,0.049463
2.559998,-1.057493,0.004158,-0.392174,0.000452,0.049538
2.579998,-1.065320,0.004167,-0.391347,0.000436,0.049610
2.599998,-1.073130,0.004175,-0.390518,0.000420,0.049680
2.619998,-1.080924,0.004183,-0.389689,0.000404,0.049749
2.639998,-1.088701,0.004191,-0.388859,0.000390,0.049815
2.659998,-1.096462,0.004198,-0.388027,0.000376,0.049880
2.679998,-1.104206,0.004206,-0.387195,0.000363,0.049942
2.699998,-1.111933,0.004213,-0.386362,0.000351,0.050003
2.719998,-1.119643,0.004219,-0.385527,0.000339,0.050063
2.739998,-1.127337,0.004226,-0.384692,0.000328,0.050121
2.759998,-1.135014,0.004232,-0.383856,0.000317,0.050178
2.779998,-1.142675,0.004238,-0.383018,0.000307,0.050233
2.799998,-1.150318,0.004244,-0.382180,0.000297,0.050287
2.819998,-1.157945,0.004250,-0.381342,0.000288,0.050339
2.839998,-1.165555,0.004256,-0.380502,0.000280,0.050391
2.859998,-1.173148,0.004261,-0.379661,0.000271,0.050441
2.879998,-1.180725,0.004266,-0.378820,0.000263,0.050490
2.899998,-1.188284,0.004272,-0.377978,0.000256,0.050538
2.919998,-1.195827,0.004277,-0.377135,0.000248,0.050585
2.939998,-1.203353,0.004281,-0.376291,0.000242,0.050631
2.959998,-1.210862,0.004286,-0.375447,0.000235,0.050676
2.979998,-1.218354,0.004291,-0.374602,0.000229,0.050720
2.999998,-1.225829,0.004295,-0.373756,0.000223,0.050763
3.019998,-1.233287,0.004299,-0.372909,0.000217,0.050806
3.039998,-1.240728,0.004304,-0.372062,0.000212,0.050847
3.059998,-1.248153,0.004308,-0.371214,0.000206,0.050888
3.079998,-1.255560,0.004312,-0.370366,0.000201,0.050928
3.099998,-1.262950,0.004316,-0.369517,0.000196,0.050967
3.119998,-1.270324,0.004320,-0.368667,0.000192,0.051006
3.139998,-1.277680,0.004323,-0.367816,0.000187,0.051044
3.159998,-1.285019,0.004327,-0.366965,0.000183,0.051081
3.179998,-1.292342,0.004331,-0.366113,0.000179,0.051118
3.199998,-1.299647,0.004334,-0.365261,0.000175,0.051154
3.219998,-1.306935,0.004337,-0.364408,0.000171,0.051189
3.239998,-1.314206,0.004341,-0.363555,0.000168,0.051224
3.259998,-1.321460,0.004344,-0.362701,0.000164,0.051258
3.279998,-1.328697,0.004347,-0.361846,0.000161,0.051292
3.299998,-1.335917,0.004350,-0.360991,0.000157,0.051325
3.319998,-1.343120,0.004354,-0.360135,0.000154,0.051357
3.339998,-1.350305,0.004357,-0.359279,0.000151,0.051389
3.359998,-1.357474,0.004360,-0.358423,0.000148,0.051421
3.379997,-1.364625,0.004362,-0.357565,0.000145,0.051452
3.399997,-1.371759,0.004365,-0.356708,0.000143,0.051483
3.419997,-1.378876,0.004368,-0.355849,0.000140,0.051513
3.439997,-1.385976,0.004371,-0.354990,0.000137,0.051542
3.459997,-1.393058,0.004374,-0.354131,0.000135,0.051572
3.479997,-1.400124,0.004376,-0.353272,0.000132,0.051600
3.499997,-1.407172,0.004379,-0.352411,0.000130,0.051629
3.519997,-1.414203,0.004381,-0.351551,0.000128,0.051657
3.539997,-1.421217,0.004384,-0.350689,0.000126,0.051684
3.559997,-1.428213,0.004386,-0.349828,0.000123,0.051711
3.579997,-1.435193,0.004389,-0.348966,0.000121,0.051738
3.599997,-1.442155,0.004391,-0.348103,0.000119,0.051764
3.619997,-1.449100,0.004394,-0.347240,0.000117,0.051790
3.639997,-1.456027,0.004396,-0.346377,0.000115,0.051816
3.659997,-1.462937,0.004398,-0.345513,0.000113,0.051841
3.679997,-1.469830,0.004400,-0.344649,0.000111,0.051866
3.699997,-1.476706,0.004402,-0.343785,0.000109,0.051890
3.719997,-1.483565,0.004405,-0.342920,0.000108,0.051914
3.739997,-1.490406,0.004407,-0.342054,0.000106,0.051938
3.759997,-1.497229,0.004409,-0.341188,0.000104,0.051962
3.779997,-1.504036,0.004411,-0.340322,0.000102,0.051985
3.799997,-1.510825,0.004413,-0.339456,0.000101,0.052007
3.819997,-1.517597,0.004415,-0.338589,0.000099,0.052030
3.839997,-1.524351,0.004417,-0.337722,0.000097,0.052052
3.859997,-1.531088,0.004419,-0.336854,0.000096,0.052073
3.879997,-1.537808,0.004421,-0.335986,0.000094,0.052095
3.899997,-1.544510,0.004422,-0.335117,0.000092,0.052116
3.919997,-1.551195,0.004424,-0.334249,0.000091,0.052136
3.939997,-1.557863,0.004426,-0.333380,0.000089,0.052157
3.959997,-1.564513,0.004428,-0.332510,0.000088,0.052177
3.979997,-1.571146,0.004430,-0.331641,0.000086,0.052196
3.999997,-1.577761,0.004431,-0.330770,0.000085,0.052216
4.019997,-1.584359,0.004433,-0.329900,0.000083,0.052235
4.039997,-1.590940,0.004435,-0.329029,0.000082,0.052254
4.059997,-1.597503,0.004436,-0.328158,0.000081,0.052272
4.079997,-1.604049,0.004438,-0.327287,0.000079,0.052290
4.099997,-1.610577,0.004439,-0.326415,0.000078,0.052308
4.119997,-1.617088,0.004441,-0.325544,0.000076,0.052326
4.139997,-1.623581,0.004442,-0.324671,0.000075,0.052343
4.159997,-1.630057,0.004444,-0.323799,0.000074,0.052360
4.179997,-1.636516,0.004445,-0.322926,0.000072,0.052377
4.199997,-1.642957,0.004447,-0.322053,0.000071,0.052393
4.219997,-1.649381,0.004448,-0.321180,0.000070,0.052409
4.239997,-1.655787,0.004449,-0.320306,0.000068,0.052425
4.259997,-1.662175,0.004451,-0.319432,0.000067,0.052440
4.279997,-1.668546,0.004452,-0.318558,0.000066,0.052455
4.299997,-1.674900,0.004453,-0.317684,0.000064,0.052470
4.319997,-1.681236,0.004455,-0.316809,0.000063,0.052485
4.339997,-1.687555,0.004456,-0.315934,0.000062,0.052499
4.359997,-1.693856,0.004457,-0.315059,0.000061,0.052513
4.379997,-1.700140,0.004458,-0.314184,0.000059,0.052527
4.399997,-1.706406,0.004459,-0.313308,0.000058,0.052541
4.419997,-1.712655,0.004461,-0.312432,0.000057,0.052554
4.439997,-1.718886,0.004462,-0.311556,0.000056,0.052567
4.459997,-1.725099,0.004463,-0.310680,0.000054,0.052579
4.479997,-1.731296,0.004464,-0.309804,0.000053,0.052592
4.499997,-1.737474,0.004465,-0.308927,0.000052,0.052604
4.519997,-1.743635,0.004466,-0.308050,0.000051,0.052615
4.539997,-1.749779,0.004467,-0.307173,0.000050,0.052627
4.559997,-1.755904,0.004468,-0.306296,0.000048,0.052638
4.579997,-1.762013,0.004469,-0.305419,0.000047,0.052649
4.599997,-1.768104,0.004470,-0.304541,0.000046,0.052660
4.619997,-1.774177,0.004471,-0.303663,0.000045,0.052670
4.639997,-1.780233,0.004471,-0.302785,0.000044,0.052680
4.659997,-1.786271,0.004472,-0.301907,0.000042,0.052690
4.679996,-1.792291,0.004473,-0.301029,0.000041,0.052700
4.699996,-1.798294,0.004474,-0.300151,0.000040,0.052709
4.719996,-1.804280,0.004475,-0.299272,0.000039,0.052718
4.739996,-1.810248,0.004475,-0.298393,0.000038,0.052727
4.759996,-1.816198,0.004476,-0.297514,0.000036,0.052735
4.779996,-1.822131,0.004477,-0.296635,0.000035,0.052743
4.799996,-1.828046,0.004478,-0.295756,0.000034,0.052751
4.819996,-1.833943,0.004478,-0.294877,0.000033,0.052759
4.839996,-1.839823,0.004479,-0.293998,0.000032,0.052766
4.859996,-1.845686,0.004480,-0.293118,0.000031,0.052773
4.879996,-1.851530,0.004480,-0.292238,0.000030,0.052780
4.899996,-1.857358,0.004481,-0.291359,0.000028,0.052787
4.919996,-1.863167,0.004481,-0.290479,0.000027,0.052793
4.939996,-1.868959,0.004482,-0.289599,0.000026,0.052799
4.959996,-1.874734,0.004482,-0.288719,0.000025,0.052805
4.979996,-1.880490,0.004483,-0.287839,0.000024,0.052810
4.999996,-1.886229,0.004483,-0.286958,0.000023,0.052816
5.019996,-1.891951,0.004484,-0.286078,0.000022,0.052821
5.039996,-1.897655,0.004484,-0.285197,0.000020,0.052825
5.059996,-1.903341,0.004484,-0.284317,0.000019,0.052830
5.079996,-1.909010,0.004485,-0.283436,0.000018,0.052834
5.099996,-1.914661,0.004485,-0.282556,0.000017,0.052838
5.119996,-1.920295,0.004485,-0.281675,0.000016,0.052842
5.139996,-1.925911,0.004486,-0.280794,0.000015,0.052845
5.159996,-1.931509,0.004486,-0.279913,0.000014,0.052848
5.179996,-1.937089,0.004486,-0.279032,0.000013,0.052851
5.199996,-1.942652,0.004486,-0.278152,0.000011,0.052854
5.219996,-1.948198,0.004487,-0.277271,0.000010,0.052856
5.239996,-1.953726,0.004487,-0.276390,0.000009,0.052858
5.259996,-1.959236,0.004487,-0.275508,0.000008,0.052860
5.279996,-1.964728,0.004487,-0.274627,0.000007,0.052862
5.299996,-1.970203,0.004487,-0.273746,0.000006,0.052863
5.319996,-1.975661,0.004487,-0.272865,0.000005,0.052864
5.339996,-1.981100,0.004487,-0.271984,0.000004,0.052865
5.359996,-1.986522,0.004487,-0.271103,0.000003,0.052865
5.379996,-1.991927,0.004488,-0.270222,0.000002,0.052866
5.399996,-1.997314,0.004488,-0.269340,0.000000,0.052866
5.419996,-2.002683,0.004488,-0.268459,-0.000001,0.052865
5.439996,-2.008034,0.004487,-0.267578,-0.000002,0.052865
5.459996,-2.013368,0.004487,-0.266697,-0.000003,0.052864
5.479996,-2.018685,0.004487,-0.265816,-0.000004,0.052863
5.499996,-2.023983,0.004487,-0.264935,-0.000005,0.052862
5.519996,-2.029264,0.004487,-0.264053,-0.000006,0.052860
5.539996,-2.034528,0.004487,-0.263172,-0.000007,0.052859
5.559996,-2.039774,0.004487,-0.262291,-0.000008,0.052857
5.579996,-2.045002,0.004487,-0.261410,-0.000009,0.052854
5.599996,-2.050212,0.004486,-0.260529,-0.000010,0.052852
5.619996,-2.055405,0.004486,-0.259648,-0.000011,0.052849
5.639996,-2.060581,0.004486,-0.258767,-0.000013,0.052846
5.659996,-2.065738,0.004486,-0.257887,-0.000014,0.052843
5.679996,-2.070879,0.004485,-0.257006,-0.000015,0.052839
5.699996,-2.076001,0.004485,-0.256125,-0.000016,0.052835
5.719995,-2.081106,0.004485,-0.255244,-0.000017,0.052831
5.739995,-2.086193,0.004484,-0.254364,-0.000018,0.052827
5.759995,-2.091263,0.004484,-0.253483,-0.000019,0.052823
5.779995,-2.096315,0.004484,-0.252603,-0.000020,0.052818
5.799995,-2.101349,0.004483,-0.251722,-0.000021,0.052813
5.819995,-2.106366,0.004483,-0.250842,-0.000022,0.052808
5.839995,-2.111365,0.004482,-0.249962,-0.000023,0.052802
5.859995,-2.116347,0.004482,-0.249082,-0.000024,0.052796
5.879995,-2.121311,0.004481,-0.248202,-0.000025,0.052790
5.899995,-2.126258,0.004481,-0.247322,-0.000026,0.052784
5.919995,-2.131186,0.004480,-0.246442,-0.000027,0.052778
5.939995,-2.136098,0.004480,-0.245562,-0.000028,0.052771
5.959995,-2.140991,0.004479,-0.244683,-0.000029,0.052764
5.979995,-2.145867,0.004478,-0.243803,-0.000030,0.052757
5.999995,-2.150726,0.004478,-0.242924,-0.000032,0.052749
6.019995,-2.155567,0.004477,-0.242045,-0.000033,0.052741
6.039995,-2.160390,0.004476,-0.241165,-0.000034,0.052733
6.059995,-2.165196,0.004476,-0.240286,-0.000035,0.052725
6.079995,-2.169984,0.004475,-0.239408,-0.000036,0.052717
6.099995,-2.174755,0.004474,-0.238529,-0.000037,0.052708
6.119995,-2.179508,0.004474,-0.237650,-0.000038,0.052699
6.139995,-2.184243,0.004473,-0.236772,-0.000039,0.052690
6.159995,-2.188961,0.004472,-0.235894,-0.000040,0.052680
6.179995,-2.193661,0.004471,-0.235016,-0.000041,0.052671
6.199995,-2.198344,0.004470,-0.234138,-0.000042,0.052661
6.219995,-2.203009,0.004469,-0.233260,-0.000043,0.052651
6.239995,-2.207657,0.004469,-0.232382,-0.000044,0.052640
6.259995,-2.212287,0.004468,-0.231505,-0.000045,0.052630
6.279995,-2.216899,0.004467,-0.230628,-0.000046,0.052619
6.299995,-2.221494,0.004466,-0.229751,-0.000047,0.052608
6.319995,-2.226072,0.004465,-0.228874,-0.000048,0.052596
6.339995,-2.230632,0.004464,-0.227997,-0.000049,0.052585
6.359995,-2.235174,0.004463,-0.227120,-0.000050,0.052573
6.379995,-2.239699,0.004462,-0.226244,-0.000051,0.052561
6.399995,-2.244206,0.004461,-0.225368,-0.000052,0.052549
6.419995,-2.248696,0.004460,-0.224492,-0.000053,0.052536
6.439995,-2.253169,0.004459,-0.223616,-0.000054,0.052523
6.459995,-2.257623,0.004458,-0.222741,-0.000055,0.052510
6.479995,-2.262061,0.004457,-0.221866,-0.000056,0.052497
6.499995,-2.266481,0.004455,-0.220991,-0.000057,0.052484
6.519995,-2.270883,0.004454,-0.220116,-0.000058,0.052470
6.539995,-2.275268,0.004453,-0.219241,-0.000059,0.052456
6.559995,-2.279635,0.004452,-0.218367,-0.000060,0.052442
6.579995,-2.283985,0.004451,-0.217493,-0.000061,0.052428
6.599995,-2.288317,0.004449,-0.216619,-0.000062,0.052413
6.619995,-2.292632,0.004448,-0.215745,-0.000063,0.052398
6.639995,-2.296930,0.004447,-0.214872,-0.000064,0.052383
6.659995,-2.301210,0.004446,-0.213999,-0.000065,0.052368
6.679995,-2.305472,0.004444,-0.213126,-0.000066,0.052352
6.699995,-2.309717,0.004443,-0.212253,-0.000067,0.052336
6.719995,-2.313945,0.004442,-0.211381,-0.000068,0.052320
6.739995,-2.318155,0.004440,-0.210509,-0.000069,0.052304
6.759995,-2.322348,0.004439,-0.209637,-0.000070,0.052288
6.779994,-2.326523,0.004437,-0.208766,-0.000071,0.052271
