time,x,theta,vx,vtheta,force
8.540006,-2.626534,0.004241,-0.133575,-0.000149,0.049956
8.560006,-2.629189,0.004238,-0.132743,-0.000150,0.049921
8.580007,-2.631827,0.004235,-0.131911,-0.000151,0.049885
8.600007,-2.634449,0.004232,-0.131079,-0.000151,0.049850
8.620008,-2.637054,0.004229,-0.130248,-0.000152,0.049814
8.640008,-2.639642,0.004226,-0.129418,-0.000153,0.049778
8.660008,-2.642214,0.004223,-0.128588,-0.000154,0.049741
8.680009,-2.644769,0.004220,-0.127759,-0.000155,0.049705
8.700009,-2.647308,0.004217,-0.126931,-0.000155,0.049668
8.720010,-2.649830,0.004214,-0.126103,-0.000156,0.049631
8.740010,-2.652335,0.004211,-0.125276,-0.000157,0.049594
8.760011,-2.654824,0.004207,-0.124449,-0.000158,0.049557
8.780011,-2.657297,0.004204,-0.123623,-0.000158,0.049520
8.800012,-2.659753,0.004201,-0.122797,-0.000159,0.049482
8.820012,-2.662192,0.004198,-0.121973,-0.000160,0.049445
8.840013,-2.664615,0.004195,-0.121149,-0.000161,0.049407
8.860013,-2.667021,0.004191,-0.120325,-0.000162,0.049369
8.880013,-2.669412,0.004188,-0.119502,-0.000162,0.049330
8.900014,-2.671785,0.004185,-0.118680,-0.000163,0.049292
8.920014,-2.674142,0.004182,-0.117858,-0.000164,0.049253
8.940015,-2.676483,0.004178,-0.117037,-0.000165,0.049214
8.960015,-2.678807,0.004175,-0.116217,-0.000165,0.049175
8.980016,-2.681115,0.004172,-0.115397,-0.000166,0.049136
9.000016,-2.683407,0.004168,-0.114578,-0.000167,0.049097
9.020017,-2.685682,0.004165,-0.113760,-0.000168,0.049057
9.040017,-2.687941,0.004162,-0.112942,-0.000168,0.049017
9.060018,-2.690183,0.004158,-0.112125,-0.000169,0.048977
9.080018,-2.692410,0.004155,-0.111309,-0.000170,0.048937
9.100019,-2.694620,0.004151,-0.110493,-0.000171,0.048897
9.120019,-2.696813,0.004148,-0.109678,-0.000172,0.048857
9.140019,-2.698990,0.004145,-0.108864,-0.000172,0.048816
9.160020,-2.701151,0.004141,-0.108050,-0.000173,0.048775
9.180020,-2.703296,0.004138,-0.107237,-0.000174,0.048734
9.200021,-2.705425,0.004134,-0.106425,-0.000174,0.048693
9.220021,-2.707537,0.004131,-0.105613,-0.000175,0.048652
9.240022,-2.709633,0.004127,-0.104803,-0.000176,0.048610
9.260022,-2.711713,0.004124,-0.103992,-0.000177,0.048569
9.280023,-2.713776,0.004120,-0.103183,-0.000177,0.048527
9.300023,-2.715824,0.004116,-0.102374,-0.000178,0.048485
9.320024,-2.717855,0.004113,-0.101566,-0.000179,0.048443
9.340024,-2.719870,0.004109,-0.100758,-0.000180,0.048400
9.360024,-2.721869,0.004106,-0.099952,-0.000180,0.048358
9.380025,-2.723852,0.004102,-0.099146,-0.000181,0.048315
9.400025,-2.725819,0.004098,-0.098340,-0.000182,0.048272
9.420026,-2.727770,0.004095,-0.097536,-0.000183,0.048229
9.440026,-2.729705,0.004091,-0.096732,-0.000183,0.048186
9.460027,-2.731623,0.004087,-0.095929,-0.000184,0.048142
9.480027,-2.733526,0.004084,-0.095126,-0.000185,0.048099
9.500028,-2.735412,0.004080,-0.094325,-0.000185,0.048055
9.520028,-2.737283,0.004076,-0.093524,-0.000186,0.048011
9.540029,-2.739137,0.004073,-0.092723,-0.000187,0.047967
9.560029,-2.740976,0.004069,-0.091924,-0.000188,0.047923
9.580029,-2.742798,0.004065,-0.091125,-0.000188,0.047879
9.600030,-2.744605,0.004061,-0.090327,-0.000189,0.047834
9.620030,-2.746395,0.004057,-0.089530,-0.000190,0.047789
9.640031,-2.748170,0.004054,-0.088733,-0.000190,0.047744
9.660031,-2.749929,0.004050,-0.087937,-0.000191,0.047699
9.680032,-2.751671,0.004046,-0.087142,-0.000192,0.047654
9.700032,-2.753398,0.004042,-0.086348,-0.000192,0.047609
9.720033,-2.755109,0.004038,-0.085554,-0.000193,0.047563
9.740033,-2.756805,0.004034,-0.084762,-0.000194,0.047518
9.760034,-2.758484,0.004031,-0.083970,-0.000195,0.047472
9.780034,-2.760148,0.004027,-0.083178,-0.000195,0.047426
9.800035,-2.761795,0.004023,-0.082388,-0.000196,0.047379
9.820035,-2.763427,0.004019,-0.081598,-0.000197,0.047333
9.840035,-2.765044,0.004015,-0.080809,-0.000197,0.047287
9.860036,-2.766644,0.004011,-0.080021,-0.000198,0.047240
9.880036,-2.768229,0.004007,-0.079234,-0.000199,0.047193
9.900037,-2.769798,0.004003,-0.078447,-0.000199,0.047146
9.920037,-2.771351,0.003999,-0.077661,-0.000200,0.047099
9.940038,-2.772888,0.003995,-0.076876,-0.000201,0.047052
9.960038,-2.774410,0.003991,-0.076092,-0.000201,0.047004
9.980039,-2.775916,0.003987,-0.075309,-0.000202,0.046957
